RunNumber	BeamCurrent(nA)	Target
20014	9.29706	C 
20015	81.1907	C 
20017	79.5663	C 
20018	79.4394	C 
20019	75.5429	C 
20021	0.0	LD2 + C 
20022	32.1728	LD2 + C 
20023	50.7791	LD2 + C 
20024	0.00882807	LD2 + C 
20026	70.0673	LD2 + C 
20027	69.8565	LD2 + C 
20029	68.7199	LD2 + C 
20030	70.3631	LD2 + C 
20031	71.4037	LD2 + C 
20032	67.7135	LD2 + C 
20033	69.6778	LD2 + C 
20036	2.93975	empty+Wire 
20038	2.63628	empty+Wire 
20039	4.86979	empty+Wire 
20041	-0.0253807	LD2 + Pb 
20042	12.6517	LD2 + Pb 
20043	57.4498	LD2 + Pb 
20044	55.4226	LD2 + Pb 
20045	55.0232	LD2 + Pb 
20046	58.6261	LD2 + Pb 
20047	63.3216	LD2 + Pb 
20048	66.3397	LD2 + Pb 
20051	58.2907	LD2 + Pb 
20055	57.2169	LD2 + Pb 
20056	56.0075	LD2 + Pb 
20057	2.36261	LD2 + Pb 
20059	0.00331053	LD2 + Pb 
20060	0.0419333	LD2 + Pb 
20062	65.7283	LD2 + Pb 
20065	N/A	N/A
20072	80.0614	C 
20075	66.3454	LD2 + Pb 
20076	66.0071	LD2 + Pb 
20077	0.00320018	LD2 + Pb 
20078	65.1222	LD2 + Pb 
20079	65.9176	LD2 + Pb 
20080	62.4833	LD2 + Pb 
20081	63.5239	LD2 + Pb 
20082	33.4811	LD2 + Pb 
20083	64.5763	LD2 + Pb 
20084	0.00474509	LD2 + Pb 
20085	66.9791	LD2 + Pb 
20086	64.8358	LD2 + Pb 
20089	63.0636	LD2 + Pb 
20090	9.48378	LD2 + Pb 
20091	64.7008	LD2 + Pb 
20093	66.2608	LD2 + Pb 
20094	64.9393	LD2 + Pb 
20095	66.3913	LD2 + Pb 
20096	-0.00871772	LD2 + Pb 
20097	65.9115	LD2 + Pb 
20098	65.7035	LD2 + Pb 
20099	-0.00573825	LD2 + Pb 
20100	66.3482	LD2 + Pb 
20101	64.4071	LD2 + Pb 
20104	66.2049	LD2 + Pb 
20105	65.0733	LD2 + Pb 
20106	0.0136835	LD2 + Pb 
20107	65.9179	LD2 + Pb 
20108	64.0545	LD2 + Pb 
20111	67.728	LD2 + Pb 
20112	-0.00507614	LD2 + Pb 
20113	64.9265	LD2 + Pb 
20114	65.7964	LD2 + Pb 
20116	67.0374	LD2 + Pb 
20117	65.5947	LD2 + Pb 
20118	64.9435	LD2 + Pb 
20119	68.3514	LD2 + Pb 
20120	66.5361	LD2 + Pb 
20121	66.3873	LD2 + Pb 
20122	66.3497	LD2 + Pb 
20123	65.6403	LD2 + Pb 
20124	66.0093	LD2 + Pb 
20125	-0.00198632	LD2 + Pb 
20126	0.00629	LD2 + Pb 
20127	68.5786	LD2 + Pb 
20128	66.9194	LD2 + Pb 
20129	70.8902	LD2 + Pb 
20131	0.00165526	LD2 + C 
20132	124.317	LD2 + C 
20133	118.205	LD2 + C 
20134	-0.133283	LD2 + C 
20135	8.3764	LD2 + C 
20136	-0.0828514	LD2 + C 
20137	-0.12968	LD2 + C 
20138	0.0924574	LD2 + C 
20139	0.00960596	LD2 + C 
20140	0.0420261	LD2 + C 
20141	64.5364	LD2 + C 
20142	127.556	LD2 + C 
20143	121.7	LD2 + C 
20144	119.591	LD2 + C 
20145	45.2813	LD2 + C 
20146	120.537	LD2 + C 
20148	124.859	LD2 + C 
20149	123.739	LD2 + C 
20150	0.0432268	LD2 + C 
20151	129.963	LD2 + C 
20152	127.006	LD2 + C 
20153	33.896	LD2 + C 
20154	80.5741	LD2 + C 
20155	83.0457	LD2 + C 
20156	77.7262	LD2 + C 
20157	33.9351	LD2 + C 
20158	79.5183	LD2 + C 
20160	78.6207	LD2 + C 
20161	0.0990504	LD2 + C 
20162	0.0353203	LD2 + C 
20163	77.5112	LD2 + C 
20164	74.5059	LD2 + C 
20165	78.5754	LD2 + C 
20166	81.4786	LD2 + C 
20167	77.5112	LD2 + C 
20168	77.3338	LD2 + C 
20169	76.8816	LD2 + C 
20170	78.9739	LD2 + C 
20171	76.2174	LD2 + C 
20172	0.0383916	LD2 + C 
20173	81.9224	LD2 + C 
20174	0.0691049	LD2 + C 
20175	-0.0214993	LD2 + C 
20176	-0.0575875	LD2 + C 
20177	-0.145888	Cu
20178	70.1366	LD2 + Cu 
20179	68.8082	LD2 + Cu 
20181	63.3202	LD2 + Cu 
20182	-0.0171044	LD2 + Cu 
20183	67.1649	LD2 + Cu 
20184	0.00397263	LD2 + Cu 
20185	71.9015	LD2 + Cu 
20186	30.5653	LD2 + Cu 
20187	69.2017	LD2 + Cu 
20191	70.2765	LD2 + Cu 
20192	69.6544	LD2 + Cu 
20193	68.4263	LD2 + Cu 
20194	0.00353123	LD2 + Cu 
20195	71.3154	LD2 + Cu 
20196	74.2652	LD2 + Cu 
20197	68.0097	LD2 + Cu 
20198	70.2363	LD2 + Cu 
20199	65.2014	LD2 + Cu 
20200	71.0437	LD2 + Cu 
20201	57.3089	LD2 + Cu 
20202	66.8947	LD2 + Cu 
20203	69.8244	LD2 + Cu 
20205	70.2514	LD2 + Cu 
20207	73.3837	LD2 + Cu 
20208	-0.00132421	LD2 + Cu 
20209	72.1744	LD2 + Cu 
20213	70.4929	LD2 + Cu 
20214	69.5017	LD2 + Cu 
20215	75.2155	LD2 + Cu 
20216	73.1144	LD2 + Cu 
20217	68.7427	LD2 + Cu 
20219	71.9591	LD2 + Cu 
20220	59.3113	LD2 + Cu 
20221	65.914	LD2 + Cu 
20222	69.4147	LD2 + Cu 
20223	78.5195	LD2 + Cu 
20224	71.244	LD2 + Cu 
20225	72.8525	LD2 + Cu 
20226	97.5915	LD2 + Cu 
20227	93.7117	LD2 + Cu 
20228	0.188119	LD2 + Cu 
20229	0.0952113	LD2 + Cu 
20230	96.1987	LD2 + Cu 
20231	92.7335	LD2 + Cu 
20232	93.8307	LD2 + Pb 
20234	64.9369	LD2 + Pb 
20235	0.0132669	LD2 + Pb 
20236	8.81721	LD2 + Pb 
20238	17.6525	LD2 + Pb 
20239	37.771	LD2 + Pb 
20240	56.8425	LD2 + Pb 
20241	1.44132	LD2 + Pb 
20242	34.5715	LD2 + Pb 
20243	24.0195	LD2 + Pb 
20244	64.3887	LD2 + Pb 
20245	60.1539	LD2 + Pb 
20246	64.2295	LD2 + Pb 
20247	-0.0244112	LD2 + Pb 
20248	63.4823	LD2 + Pb 
20249	9.41316	LD2 + Pb 
20250	-0.0238805	LD2 + Pb 
20251	-0.0254725	LD2 + Pb 
20252	66.228	LD2 + Pb 
20253	64.4763	LD2 + Pb 
20254	66.7481	LD2 + Pb 
20255	65.2065	LD2 + Pb 
20256	0.018043	LD2 + Pb 
20257	0.0520064	LD2 + Pb 
20258	64.5293	LD2 + Pb 
20260	9.09847	LD2 + Pb 
20263	66.0258	LD2 + Pb 
20264	64.8207	LD2 + Pb 
20265	-0.0175124	LD2 + Pb 
20266	62.2984	LD2 + Pb 
20267	67.3515	LD2 + Pb 
20269	63.0397	Pb + Empty
20270	69.3018	Pb + Empty
20271	-0.0326123	Empty + Pb 
20272	7.98241	Empty + Pb 
20273	0.083705	Empty + Pb 
20274	150.506	Empty + Pb 
20275	139.676	Empty + Pb 
20278	0.0326123	Pb 
20279	-0.0962064	Pb 
20282	0.0244112	LD2 + Pb 
20283	-0.136384	LD2 + Pb 
20284	65.3391	LD2 + Pb 
20285	0.0504144	LD2 + Pb 
20287	32.7656	LD2 + Pb 
20288	64.3208	LD2 + Pb 
20289	0.0737642	LD2 + Pb 
20290	-0.137445	LD2 + Pb 
20291	59.5839	LD2 + Pb 
20292	61.0311	LD2 + Pb 
20293	70.2463	LD2 + Pb 
20294	0.0928686	LD2 + Pb 
20297	66.0269	LD2 + Pb 
20298	0.125771	LD2 + Pb 
20299	63.8315	LD2 + Pb 
20300	66.92	LD2 + Pb 
20302	65.7536	LD2 + Pb 
20303	65.6607	LD2 + Pb 
20304	66.3474	LD2 + Pb 
20305	68.6267	LD2 + Pb 
20306	66.0105	LD2 + Pb 
20307	61.22	LD2 + Pb 
20308	65.5981	LD2 + Pb 
20309	63.3698	LD2 + Pb 
20312	-0.0801323	LD2 + Pb 
20313	-0.0817243	LD2 + Pb 
20314	62.8158	LD2 + Pb 
20315	56.4121	LD2 + Pb 
20316	-0.114626	LD2 + Pb 
20317	60.9197	LD2 + Pb 
20318	65.207	LD2 + Pb 
20320	68.4537	LD2 + Pb 
20321	64.8265	LD2 + Pb 
20322	-0.00265339	LD2 + Pb 
20323	58.9705	LD2 + Pb 
20324	64.1005	LD2 + Pb 
20325	62.3461	LD2 + Pb 
20326	11.9965	LD2 + Pb 
20327	-0.0833164	LD2 + Pb 
20328	53.3018	LD2 + Pb 
20330	65.4983	LD2 + Pb 
20332	4.18598	LD2 + Sn 
20333	57.2612	LD2 + Sn 
20334	-0.0424542	LD2 + Sn 
20335	16.6438	LD2 + Sn 
20336	64.0501	LD2 + Sn 
20337	61.903	LD2 + Sn 
20339	62.5538	LD2 + Sn 
20340	-0.0869613	LD2 + Sn 
20341	0.00561041	LD2 + Sn 
20342	61.6735	LD2 + Sn 
20343	66.1113	LD2 + Sn 
20344	-0.0353456	LD2 + Sn 
20345	61.724	LD2 + Sn 
20346	58.3892	LD2 + Sn 
20348	60.7394	LD2 + Sn 
20349	0.00448832	LD2 + Sn 
20350	59.5937	LD2 + Sn 
20351	2.00291	LD2 + Sn 
20352	59.679	LD2 + Sn 
20353	69.2633	LD2 + Sn 
20359	61.3324	LD2 + Sn 
20360	59.2364	LD2 + Sn 
20361	58.9771	LD2 + Sn 
20363	57.455	LD2 + Sn 
20364	60.8987	LD2 + Sn 
20365	-0.141382	LD2 + Sn 
20366	58.9884	LD2 + Sn 
20367	63.4262	LD2 + Sn 
20369	57.6896	LD2 + Sn 
20370	56.3072	LD2 + Sn 
20374	61.664	LD2 + Sn 
20375	0.0460053	LD2 + Sn 
20378	58.9513	LD2 + Sn 
20379	64.0927	LD2 + Sn 
20380	0.171678	LD2 + Sn 
20381	63.4829	LD2 + Sn 
20382	63.0155	LD2 + Sn 
20383	62.197	LD2 + Sn 
20384	60.6928	LD2 + Sn 
20385	-0.0112208	LD2 + Sn 
20386	64.5713	LD2 + Sn 
20388	60.9834	LD2 + Sn 
20389	66.3307	LD2 + Sn 
20390	53.7494	LD2 + Sn 
20391	58.3903	LD2 + Sn 
20392	59.8305	LD2 + Sn 
20393	-0.0488105	LD2 + Sn 
20394	58.0834	LD2 + Sn 
20395	63.0929	LD2 + Sn 
20396	67.813	LD2 + Sn 
20397	58.8644	LD2 + Sn 
20398	59.2302	LD2 + Sn 
20399	60.2075	LD2 + Sn 
20400	58.4677	LD2 + Sn 
20401	61.1321	LD2 + Sn 
20402	30.7658	LD2 + Sn 
20403	58.3033	LD2 + Sn 
20404	59.095	LD2 + Sn 
20406	63.2775	LD2 + Sn 
20407	61.1585	LD2 + Sn 
20408	57.1454	LD2 + Sn 
20409	-0.0319793	LD2 + Sn 
20410	68.2304	LD2 + Sn 
20411	0.0314183	LD2 + Sn 
20412	-0.0286131	LD2 + Sn 
20413	59.8344	LD2 + Sn 
20414	57.7647	LD2 + Sn 
20415	71.9927	LD2 + Sn 
20416	31.3683	LD2 + Sn 
20417	-0.0875223	LD2 + Sn 
20418	69.3536	LD2 + Sn 
20419	58.1081	LD2 + Sn 
20420	2.31149	LD2 + Sn 
20421	59.5881	LD2 + Sn 
20422	65.607	LD2 + Sn 
20423	-0.013465	LD2 + Sn 
20424	60.359	LD2 + Sn 
20425	63.8924	LD2 + Sn 
20426	71.0176	LD2 + Sn 
20427	57.5869	LD2 + Sn 
20428	53.787	LD2 + Sn 
20429	62.0713	LD2 + Sn 
